ID,Hashes,Algorithms,VirusTotal,,,,Basic Properties,,,,History,,,,,"Names (top 3 names only, null if < 3 names)",,,
,,,Detection (sample: 4/69),Hash-MD5,Hash-SHA1,Hash-SHA256,File Type,Magic,Creation Time,Signature Date,First Seen in the Wild,First Submission,Last Submission,Last Analysis,Name1,Name2,Name3,Verdict (Benign or Malicious)
1,ï»¿79d0cabf43b41761cb0d3db7ecd6b507,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
2,7a6607db7115cddee32040a3a26f693de4c7aa57059c4476c3849d66ea145f61,SHA256,0/76,a223b5d2aeb97b22589675f266771114,1fc399e68fbcc1ab9d27683e19f0f8d6980e14b8,7a6607db7115cddee32040a3a26f693de4c7aa57059c4476c3849d66ea145f61,Win32 EXE,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows",1970-01-01 09:16:16,N/A,2020-06-11 13:11:48,2015-02-08 15:48:44,2024-11-26 15:13:06,2024-11-26 15:13:06,uname.exe,7a6607db7115cddee32040a3a26f693de4c7aa57059c4476c3849d66ea145f61.exe,aa,Benign
3,7aa751d4fb1bde168965fcd8e43da8a0a6b5e48f,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
4,7b387f43bf5aefd8f4bb62ffc70756f0406f0194281a2b991fee89b340ba2170,SHA256,57/76,924de9f4a334fbcf9026cb64bf1b331c,bf65e2ddad03edcd345b4506913aba7aa1ad5c56,7b387f43bf5aefd8f4bb62ffc70756f0406f0194281a2b991fee89b340ba2170,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2024-06-17 02:34:19,N/A,2024-06-17 07:28:00,2024-06-17 06:31:59,2024-06-20 09:20:30,2024-10-07 08:24:16,Wrwh.exe,7b387f43bf5aefd8f4bb62ffc70756f0406f0194281a2b991fee89b340ba2170.exe,GXSAG24049117_57.exe,Malicious
5,7b6a358d5eee6bd500984670ac90640b,MD5,57/76,7b6a358d5eee6bd500984670ac90640b,b2863960feb24a1225d7fb9cb149c5d0a112fb21,dc87604f1d5dc29d3aab245b6384d1886819e53b48118bbcf8df9fdb1b58dcaa,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2024-06-13 02:10:09,N/A,2024-06-13 03:22:38,2024-06-13 02:23:08,2024-06-19 04:49:10,2025-02-20 15:05:08,PURCHASE ORDER-6333-2024.exe,aCpZ.exe,dc87604f1d5dc29d3aab245b6384d1886819e53b48118bbcf8df9fdb1b58dcaa.exe,Malicious
6,7b87dc448c231fda9f181ae2bbfa5d13,MD5,60/76,7b87dc448c231fda9f181ae2bbfa5d13,23ce77011232f258710a47d7d6b427006cdd8967,e4b768a0a1970b4ed4786cc15376c39cab8b15ac34f9566f67a2baa45c5f382f,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2024-05-14 18:52:11,N/A,N/A,2024-06-15 22:36:07,2024-06-16 14:16:20,2025-01-25 17:47:36,czolngrok.exe,e4b768a0a1970b4ed4786cc15376c39cab8b15ac34f9566f67a2baa45c5f382f.exe,xworm.exe,Malicious
7,7be00898743959bc4920b74700158918ebc39824,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
8,7c21cbd810ced68cb67605ca5d450b479c4e9c75c6c17b893308a3086bc17b0b,SHA256,0/76,8815977a898f2449227cec209a0b2d9d,f1c20115cb5b9377395962a9f42a13e85b1c9f94,7c21cbd810ced68cb67605ca5d450b479c4e9c75c6c17b893308a3086bc17b0b,Win32 EXE,"PE32+ executable (console) x86-64 Mono/.Net assembly, for MS Windows",2008-07-29 10:56:47,N/A,2020-06-11 13:11:10,2013-06-29 03:53:46,2024-11-28 05:55:41,2025-03-10 10:16:53,lc.exe,7c21cbd810ced68cb67605ca5d450b479c4e9c75c6c17b893308a3086bc17b0b.exe,62077973.exe,Benign
9,7c2d18e6f7d03a7a94251043ac6f5a46e61586a34d1176e6192e2be2967c3a8b,SHA256,0/76,581c50b5be081c6a241c02d9a119904b,51464b343b742593a2899b7d8814fe8fc6df7343,7c2d18e6f7d03a7a94251043ac6f5a46e61586a34d1176e6192e2be2967c3a8b,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2015-07-10 03:30:16,N/A,2015-07-09 20:30:16,2015-07-18 03:47:53,2024-11-27 05:46:44,2024-11-27 05:46:44,RunLegacyCPLElevated,RunLegacyCPLElevated.EXE,7c2d18e6f7d03a7a94251043ac6f5a46e61586a34d1176e6192e2be2967c3a8b.exe,Benign
10,7c3bc73ca8bc417a5243f557477a25e67aa8891d,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
