ID,Hashes,Algorithms,VirusTotal,,,,Basic Properties,,,,History,,,,,"Names (top 3 names only, null if < 3 names)",,,
,,,Detection (sample: 4/69),Hash-MD5,Hash-SHA1,Hash-SHA256,File Type,Magic,Creation Time,Signature Date,First Seen in the Wild,First Submission,Last Submission,Last Analysis,Name1,Name2,Name3,Verdict (Benign or Malicious)
1,ï»¿f1cc5d96089691ef1f5e470af2a0a777,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
2,f2025da7ee5be946e5bd6437ac382b74bed0d91d,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
3,f2127d768f984b7eb3dd14c6e5295c3190dddb9e,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
4,f243f6d57a333999afecebce2d66c8a880dfbe7b,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
5,f2ddb0d5fa69980f5beb93e8c0708f614c2d75fc,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
6,f2e3439324e93fcb842ddba2301fe738,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
7,f357aae8a5327e9f68d469890a23cb5c,MD5,2/76,f357aae8a5327e9f68d469890a23cb5c,fcbd0a7e12b8f126b702096b4262ee000dccef0b,884a70f8418eaab0324a30b90b44bdb8b3988d45b372d540b1f2af8a95fbf00a,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2018-06-14 13:27:46,N/A,2023-12-20 18:40:27,2023-09-14 15:03:33,2024-12-13 20:28:47,2025-03-09 01:29:25,file-checksum-calculator.exe,884a70f8418eaab0324a30b90b44bdb8b3988d45b372d540b1f2af8a95fbf00a.exe,884a70f8418eaab0324a30b90b44bdb8b3988d45b372d540b1f2af8a95fbf00a.exe.vir,Malicious
8,f376bee7b266a2ab31e94757280d5145d3a03547,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
9,f3f0f22884c6f5ea6bc137fbf0365a60,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
10,f404c34eb3227c557f4ee70ff44ebd8dad30268ea79c59e4b6af0354452f0c9d,SHA256,0/75,db42fb4a305889ae5b05ba37c0ac0f6e,a0cdb4e9bd48998b084d2a1710671e56318c70d8,f404c34eb3227c557f4ee70ff44ebd8dad30268ea79c59e4b6af0354452f0c9d,Win32 EXE,"PE32+ executable (GUI) x86-64, for MS Windows",N/A,N/A,2017-02-11 12:48:29,2017-05-11 21:25:18,2024-11-26 14:26:35,2024-11-26 14:26:35,align-layers,align-layers.exe,f404c34eb3227c557f4ee70ff44ebd8dad30268ea79c59e4b6af0354452f0c9d.exe,Benign
11,f40b1feef31f894467f412cc834651f4,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
12,f452bc99d4058ac3850741270399c8e1,MD5,42/76,f452bc99d4058ac3850741270399c8e1,c2ccaef8bb04cd75648e471bf06daa59aa901507,d45b6f7a0596ba3c35f716f58397857e65ce59c30ff952004b46cac4d903f0b5,ELF,"ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, stripped",N/A,N/A,2024-06-15 00:14:00,2024-06-15 00:07:59,2024-06-16 13:58:16,2025-01-26 05:01:56,d45b6f7a0596ba3c35f716f58397857e65ce59c30ff952004b46cac4d903f0b5.elf,arm7.octet-stream,zbetcheckin_tracker_arm7,Malicious
13,f46bad29a32c8f0b27de63af58f76118,MD5,51/76,f46bad29a32c8f0b27de63af58f76118,ee9051de481b6eb24bc625c2028f79b947035495,0e37b1329d6b6544ef24d204f4146f1445b5cdc33c46447de8e6c2c525f1fd6a,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2024-06-16 18:53:47,N/A,2024-06-17 09:02:41,2024-06-17 08:40:30,2024-06-18 15:01:30,2025-02-26 08:58:16,Bscxll.exe,0e37b1329d6b6544ef24d204f4146f1445b5cdc33c46447de8e6c2c525f1fd6a.exe,TypeId.exe,Malicious
14,f471a0a4f6e9385447a04f7cc9023135cd9be623,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
15,f4a88f9d9f71f94fb808af142579730a90c4d16dcd56055264c4c5e0697a09ea,SHA256,0/77,80093e4e55b0fffc7ecb9eea4a24f52c,84f479e83725df6e7f9025c9d176409709561a05,f4a88f9d9f71f94fb808af142579730a90c4d16dcd56055264c4c5e0697a09ea,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2017-09-08 04:34:21,N/A,2017-09-07 21:34:21,2017-09-13 13:06:55,2024-10-16 08:26:39,2024-10-16 08:26:39,f4a88f9d9f71f94fb808af142579730a90c4d16dcd56055264c4c5e0697a09ea.exe,MsoTD,MsoTD.exe,Benign
16,f52737f77cc86ff8755f67daadd8f3a3,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
17,f5bd9ddeddbe1e2c65482636219a11dd,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
18,f5cad84947ed80047edb5ccb213286921635ce6bebb57f5e4c0f6d2a62fe2e2f,SHA256,0/76,169219a50af2729b113e57dcbc493fdb,e73b658b8715d58decd11321ff1fbb1cef237cf2,f5cad84947ed80047edb5ccb213286921635ce6bebb57f5e4c0f6d2a62fe2e2f,DOS EXE,MS-DOS executable,N/A,N/A,2015-08-18 01:55:26,2010-04-21 15:57:56,2024-11-26 14:15:20,2025-03-11 01:34:12,fsynonym.exe,175122265.exe,n059x.exe,Benign
19,f5dd3f82473536afd0cb1458f928d9cc,MD5,48/79,f5dd3f82473536afd0cb1458f928d9cc,499fdbf5076c47f073c83ccad2dbc2347ed372bb,263a3a8f8f369928a6e0c96b7ad4bc589060a417032c1a0dfbf3bd7a5d4c6489,RAR,"RAR archive data, v5",N/A,N/A,N/A,2024-06-13 02:21:33,2024-06-19 03:34:58,2025-02-23 23:03:34,263a3a8f8f369928a6e0c96b7ad4bc589060a417032c1a0dfbf3bd7a5d4c6489.rar,PURCHASE ORDER-6333-2024.rar,f5dd3f82473536afd0cb1458f928d9cc.file,Malicious
20,f5dec030c7e98a32f27015300e410e3999b0ccf1741410a2563d9489d98d1769,SHA256,0/76,b37f1083d75c70d13121455ceffb25f1,8a500eba580bf08f35b83149adf14c75a320f246,f5dec030c7e98a32f27015300e410e3999b0ccf1741410a2563d9489d98d1769,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2012-07-26 22:50:19,N/A,2012-07-26 15:50:19,2013-01-14 23:28:01,2024-10-28 01:12:34,2025-03-08 14:58:42,AppxDebugSysTray.exe,f5dec030c7e98a32f27015300e410e3999b0ccf1741410a2563d9489d98d1769.exe,navaf04.tmp,Benign
21,f5df8a6c7c08a5d9ae2104613cfb332dd636aaf3d22e67da18cda744b2b0e7d0,SHA256,39/76,a8681ac5905b8af5257a2971a0a597d9,c415158cc74a584a1df762b5e060ded98330f279,f5df8a6c7c08a5d9ae2104613cfb332dd636aaf3d22e67da18cda744b2b0e7d0,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2023-10-19 16:52:05,N/A,2024-06-15 22:01:53,2024-06-15 21:40:18,2024-06-22 18:48:34,2024-12-27 12:23:51,f5df8a6c7c08a5d9ae2104613cfb332dd636aaf3d22e67da18cda744b2b0e7d0.exe,null,null,Malicious
22,f5f9f9816c6df0f3e77d2c7dc06d3870,MD5,55/76,f5f9f9816c6df0f3e77d2c7dc06d3870,64b538270f5d509737e86191ccae8c388da58a7f,5b9048d6e4a6f65fa2913d2c16e22c4c603cbbed7d4a4aa0b6ffafe22b2c55f9,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2024-06-14 07:15:47,N/A,2024-06-14 12:14:56,2024-06-14 08:26:46,2024-09-06 14:56:24,2025-01-28 00:03:54,5b9048d6e4a6f65fa2913d2c16e22c4c603cbbed7d4a4aa0b6ffafe22b2c55f9.exe,oTfjRHJdWzffhcnPGd.exe,null,Malicious
23,f6199543ece8650cd302c85aff1e0249,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
24,f628513c683653832f347102e321b9a9,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
25,f62c18b00f87907a37c167dea4774e62593f769f796880776a837bb669f687ef,SHA256,0/76,8401118a57db08496b03766012a3f47d,6627477120fa0ed20f448205a80d38163f698869,f62c18b00f87907a37c167dea4774e62593f769f796880776a837bb669f687ef,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2010-02-28 09:12:02,N/A,2009-11-01 19:20:18,2010-04-21 11:04:08,2024-12-19 05:11:22,2024-12-19 05:11:22,SETLANG.EXE,b5078.rbf,SetLang,Benign
26,f62c909c36d4a07a1cdea7c427e07afa,MD5,43/81,f62c909c36d4a07a1cdea7c427e07afa,1d0f38ef466203e4b902f88da8c91137ac2deb84,7fed2db01a46aa795b1230ddbca70c7901aac86b607c0e9797c04f5dc27dca6d,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2023-11-19 15:18:58,N/A,N/A,2024-06-15 10:32:21,2024-06-18 12:43:41,2025-02-23 06:04:50,7fed2db01a46aa795b1230ddbca70c7901aac86b607c0e9797c04f5dc27dca6d.exe,7fed2db01a46aa795b1230ddbca70c7901aac86b607c0e9797c04f5dc27dca6d.exe.vir,SecuriteInfo.com.Win32.Application.PSE.10ODIJ9.30508.18650,Malicious
